number,citation,signing_date,document_number,notes
13567,,2011-03-07,2011-5728,"See: EO 13491, January 22, 2009; EO 13492, January 22, 2009"
13568,,2011-03-08,2011-5903,
13569,,2011-04-05,2011-8642,"Amends: EO 12824, December 7, 1992; EO 12835, January 25, 1993; EO 12859, August 16, 1993; EO 13532, February 26, 2010
Revokes: EO 13507, April 8, 2009
See: EO 13498, February 5, 2009"
13570,,2011-04-18,2011-9739,"See: EO 13466, June 26, 2008; EO 13551, August 30, 2010"
13571,,2011-04-27,2011-10732,"See: EO 12862, September 11, 1993; Memoranda of March 22, 1995, and March 3, 1998"
13572,,2011-04-29,2011-10910,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13573, May 18, 2011; EO 13582, August 17, 2011"
13573,,2011-05-18,2011-12645,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; EO 13582, August 17, 2011"
13574,,2011-05-23,2011-13173,"See: EO 12957, March 15, 1995"
13575,,2011-06-09,2011-14919,
13576,,2011-06-13,2011-15181,
13577,,2011-06-15,2011-15443,
13578,,2011-07-06,2011-17447,"Revokes: EO 13509, June 23, 2009"
13579,,2011-07-11,2011-17953,"See: EO 12866, September 30, 1993; EO 13563, January 18, 2011"
13580,,2011-07-12,2011-18065,"See: EO 13547, June 19, 2010"
13581,,2011-07-24,2011-19156,
13582,,2011-08-17,2011-21505,"See: EO 13338, May 11, 2004; EO 13399, April 25, 2006; EO 13460, February 13, 2008; EO 13572, April 29, 2011; and EO 13573, May 18, 2011"
13583,,2011-08-18,2011-21704,"See: EO 13078, March 13, 1998; EO 13163, July 26, 2000; EO 13171, October 12, 2000; EO 13518, November 9, 2009; and EO 13548, July 26, 2010"
13584,,2011-09-09,2011-23891,
13585,,2011-09-30,2011-26141,"See: EO 11145, March 7, 1964; EO 11183, October 3, 1964; EO 11287, June 28, 1966; EO 11612, July 26, 1971; EO 12131, May 4, 1979; EO 12216, June 18, 1980; EO 12367, June 15, 1982; EO 12382, September 13, 1982; EO 12829, January 6, 1993; EO 12905, March 25, 1994; EO 12994, March 21, 1996; EO 13231, October 16, 2001; EO 13265, June 6, 2002; EO 13270, July 3, 2002; EO 13515, October 14, 2009; EO 13592, December 2, 2011 
Supersedes: EO 13511, September 29, 2009
Amends: EO 13515, October 14, 2009"
13586,,2011-10-06,2011-26574,
13587,,2011-10-07,2011-26729,
13588,,2011-10-31,2011-28728,
13589,,2011-11-09,2011-29683,"See: EO 13576, June 13, 2011; Memorandum of May 24, 2011"
13590,,2011-11-20,2011-30463,"See: EO 12957, March 15, 1995"
13591,,2011-11-23,2011-30990,"Amends: EO 13530, January 29, 2010
See: EO 13521, November 24, 2009; EO 13522, December 9, 2009; EO 13532, February 26, 2010; EO 13538, April 22, 2010; EO 13539, April 21, 2011; EO 13540, April 26, 2010; EO 13549, August 18, 2010; EO 13544, June 10, 2010"
13592,,2011-12-02,2011-31624,"Revokes: EO 13270, July 3, 2002; EO 13336, April 30, 2004; EO 13585, September 30, 2011"
13593,,2011-12-13,X11-11216,
13594,,2011-12-19,2011-33087,"Supersedes: EO 13561, December 22, 2010"
13595,,2011-12-19,2011-33089,
13596,,2011-12-19,2011-33335,"Amends: EO 12131, May 4, 1979; EO 13539, April 21, 2010"
13597,,2012-01-19,2012-1568,
13598,,2012-01-27,2012-2557,
13599,,2012-02-05,2012-3097,"See: EO 12957, March 15, 1995; EO 12170, November 14, 1979; EO 12281, January 19, 1981"
13600,,2012-02-09,2012-3616,
13601,,2012-02-28,2012-5366,
13602,,2012-03-15,2012-6797,
13603,,2012-03-16,2012-7019,"See: EO 11858, May 7, 1975; EO 12472, April 3, 1984; EO 12656, November 18, 1988"
13604,,2012-03-22,2012-7636,
