agency_name,parent_agency_name,description
Commerce Department,Commerce Department,"The Department of Commerce encourages, serves, and promotes the Nation's international trade, economic growth, and technological advancement. The Department provides a wide variety of programs through the competitive free enterprise system. It offers assistance and information to increase America's competitiveness in the world economy; administers programs to prevent unfair foreign trade competition; provides social and economic statistics and analyses for business and government planners; provides research and support for the increased use of scientific, engineering, and technological development; works to improve our understanding and benefits of the Earth's physical environment and oceanic resources; grants patents and registers trademarks; develops policies and conducts research on telecommunications; provides assistance to promote domestic economic development; and assists in the growth of minority businesses."
Commerce Department,Commerce Department,"The Department of Commerce encourages, serves, and promotes the Nation's international trade, economic growth, and technological advancement. The Department provides a wide variety of programs through the competitive free enterprise system. It offers assistance and information to increase America's competitiveness in the world economy; administers programs to prevent unfair foreign trade competition; provides social and economic statistics and analyses for business and government planners; provides research and support for the increased use of scientific, engineering, and technological development; works to improve our understanding and benefits of the Earth's physical environment and oceanic resources; grants patents and registers trademarks; develops policies and conducts research on telecommunications; provides assistance to promote domestic economic development; and assists in the growth of minority businesses."
Commerce Department,Commerce Department,"The Department of Commerce encourages, serves, and promotes the Nation's international trade, economic growth, and technological advancement. The Department provides a wide variety of programs through the competitive free enterprise system. It offers assistance and information to increase America's competitiveness in the world economy; administers programs to prevent unfair foreign trade competition; provides social and economic statistics and analyses for business and government planners; provides research and support for the increased use of scientific, engineering, and technological development; works to improve our understanding and benefits of the Earth's physical environment and oceanic resources; grants patents and registers trademarks; develops policies and conducts research on telecommunications; provides assistance to promote domestic economic development; and assists in the growth of minority businesses."
Commerce Department,Commerce Department,"The Department of Commerce encourages, serves, and promotes the Nation's international trade, economic growth, and technological advancement. The Department provides a wide variety of programs through the competitive free enterprise system. It offers assistance and information to increase America's competitiveness in the world economy; administers programs to prevent unfair foreign trade competition; provides social and economic statistics and analyses for business and government planners; provides research and support for the increased use of scientific, engineering, and technological development; works to improve our understanding and benefits of the Earth's physical environment and oceanic resources; grants patents and registers trademarks; develops policies and conducts research on telecommunications; provides assistance to promote domestic economic development; and assists in the growth of minority businesses."
Commerce Department,Commerce Department,"The Department of Commerce encourages, serves, and promotes the Nation's international trade, economic growth, and technological advancement. The Department provides a wide variety of programs through the competitive free enterprise system. It offers assistance and information to increase America's competitiveness in the world economy; administers programs to prevent unfair foreign trade competition; provides social and economic statistics and analyses for business and government planners; provides research and support for the increased use of scientific, engineering, and technological development; works to improve our understanding and benefits of the Earth's physical environment and oceanic resources; grants patents and registers trademarks; develops policies and conducts research on telecommunications; provides assistance to promote domestic economic development; and assists in the growth of minority businesses."
Commercial Space Transportation Office,Transportation Department,"The Commercial Space Transportation Office regulates and encourages the U.S. commercial space transportation industry. It licenses the private sector launching of space payloads on expendable launch vehicles and commercial space launch facilities. It also sets insurance requirements for the protection of persons and property and ensures that space transportation activities comply with U.S. domestic and foreign policy. Registration  The agency provides a system for registering aircraft and recording documents affecting title or interest in the aircraft, aircraft engines, propellers, appliances, and spare parts."
Commission for the Improvement of the Federal Crop Insurance Program,,
Commission of Fine Arts,,"The Commission of Fine Arts, established in 1910 by Act of Congress, is charged with giving expert advice to the President, Congress and the heads of departments and agencies of the Federal and District of Columbia governments on matters of design and aesthetics, as they affect the Federal interest and preserve the dignity of the nation's capital. The Commission consists of seven ""well qualified judges of the fine arts"" who are appointed by the President and serve for a term of four years; they may also be reappointed.
The Commission provides advice to the U. S. Mint on the design of coins and medals, and approves the site and design of national memorials, both in the United States and on foreign soil, in accordance with the Commemorative Works Act or the American Battle Monuments Act, whichever applies."
Commission on Agricultural Workers,,
Commission on Education of the Deaf,,
"Commission on Executive, Legislative, and Judicial Salaries",,
Commission on Immigration Reform,,
Commission on Interstate Child Support,,
Commission on Merchant Marine and Defense,,
Commission on Minority Business Development,,
Commission on Protecting and Reducing Government Secrecy,,
Commission on Railroad Retirement Reform,,
Commission on Review of Overseas Military Facility Structure of the United States,,
Commission on Structural Alternatives for the Federal Courts of Appeals,,
Commission on the Advancement of Federal Law Enforcement,,
Commission on the Bicentennial of the United States Constitution,,
Commission on the Future of the United States Aerospace Industry,,
Commission on the Social Security Notch Issue,,
Commission on the Ukraine Famine,,
Committee for Purchase From People Who Are Blind or Severely Disabled,,"Providing employment opportunities to more than 40,000 Americans who are blind or have other severe disabilities, the AbilityOne Program is the single largest source of jobs for such individuals in the United States.  The AbilityOne Program uses the purchasing power of the federal government to buy products and services from participating, community-based nonprofit agencies nationwide dedicated to training and employing individuals with disabilities."
Committee for the Implementation of Textile Agreements,,"The Committee for the Implementation of Textile Agreements (CITA), an interagency group chaired by the Department of Commerce, is responsible for matters affecting textile trade policy and for supervising the implementation of all textile trade agreements. CITA negotiates and administers provisions of Free Trade Agreements; implements the short supply, wool provisions, and other aspects of the Trade Preference Acts; and takes textile and apparel safeguard actions, when appropriate, under the World Trade Organization (WTO). CITA administers textile and apparel quotas on non-WTO countries and safeguard limits. CITA coordinates the administration's efforts to combat illegal textile and apparel transshipment. 
CITA was established by the President in Executive Order 11651 on March 3, 1972 and is comprised of the Departments of Commerce, State, Labor, and Treasury and the Office of the U.S. Trade Representative's Office. CITA is chaired by the Commerce Department's Deputy Assistant Secretary for Textiles and Apparel. The Commerce Department's Office of Textiles and Apparel (OTEXA) provides the staff support for the Committee, monitors all agreements and provides economic analysis and statistical data upon which the Committee relies in taking action. "
Commodity Credit Corporation,Agriculture Department,"The Commodity Credit Corporation (CCC) stabilizes, supports, and protects farm income and prices, assists in maintaining balanced and adequate supplies of agricultural commodities and their products, and facilitates the orderly distribution of commodities.
 
CCC carries out assigned foreign assistance activities, such as guaranteeing the credit sale of U.S. agricultural commodities abroad. Major emphasis is also being directed toward meeting the needs of developing nations. Agricultural commodities are supplied and exported to combat hunger and malnutrition and to encourage economic development in developing countries. In addition, under the Food for Progress Program, CCC supplies commodities to provide assistance to developing democracies."
Commodity Futures Trading Commission,Commodity Futures Trading Commission,"The Commodity Futures Trading Commission, the Federal regulatory agency for futures trading, was established by the Commodity Futures Trading Commission Act of 1974 (7 U.S.C. 4a). The Commission began operation in April 1975, and its authority to regulate futures trading was renewed by Congress in 1978, 1982, 1986, 1992, 1995, and 2000.
The mission of the Commodity Futures Trading Commission is to protect market users and the public from fraud, manipulation, and abusive practices related to the sale of commodity futures and options, and to foster open, competitive, and financially sound commodity futures and option markets.
The Commission consists of five Commissioners who are appointed by the President, with the advice and consent of the Senate. One 
Commissioner is designated by the President to serve as Chairman. The 
Commissioners serve staggered 5-year terms, and by law no more than three Commissioners can belong to the same political party.
The Commission has six major operating components: the Divisions of Market Oversight, Clearing and Intermediary Oversight, and Enforcement and the Offices of the Executive Director, General Counsel, and Chief Economist."
Commodity Futures Trading Commission,Commodity Futures Trading Commission,"The Commodity Futures Trading Commission, the Federal regulatory agency for futures trading, was established by the Commodity Futures Trading Commission Act of 1974 (7 U.S.C. 4a). The Commission began operation in April 1975, and its authority to regulate futures trading was renewed by Congress in 1978, 1982, 1986, 1992, 1995, and 2000.
The mission of the Commodity Futures Trading Commission is to protect market users and the public from fraud, manipulation, and abusive practices related to the sale of commodity futures and options, and to foster open, competitive, and financially sound commodity futures and option markets.
The Commission consists of five Commissioners who are appointed by the President, with the advice and consent of the Senate. One 
Commissioner is designated by the President to serve as Chairman. The 
Commissioners serve staggered 5-year terms, and by law no more than three Commissioners can belong to the same political party.
The Commission has six major operating components: the Divisions of Market Oversight, Clearing and Intermediary Oversight, and Enforcement and the Offices of the Executive Director, General Counsel, and Chief Economist."
Community Development Financial Institutions Fund,Treasury Department,
Competitiveness Policy Council,,
Comptroller of the Currency,Treasury Department,"The Office of the Comptroller of the Currency was created February 25, 1863 (12 Stat. 665), as a bureau of the Department of the Treasury. Its primary mission is to regulate national banks. The Office is headed by the Comptroller, who is appointed for a 5-year term by the President with the advice and consent of the Senate.
The Office regulates national banks by its power to examine banks; approves or denies applications for new bank charters, branches, or mergers; takes enforcement action--such as bank closures--against banks that are not in compliance with laws and regulations; and issues rules, regulations, and interpretations on banking practices.
The Office supervises approximately 2,100 national banks, including their trust activities and overseas operations. Each bank is examined annually through a nationwide staff of approximately 1,900 bank examiners supervised in 4 district offices. The Office is independently funded through assessments of the assets of national banks."
Congressional Budget Office,,"The Congressional Budget Office provides the Congress with economic analyses of alternative fiscal, budgetary, and programmatic policy issues, and with information and estimates required for the congressional budget process.
The Congressional Budget Office (CBO) was established by the Congressional Budget Act of 1974 (2 U.S.C. 601), which also created a procedure by which the United States Congress considers and acts upon the annual Federal budget. This process enables the Congress to have an overview of the Federal budget and to make overall decisions regarding spending and taxing levels and the deficit or surplus these levels incur."
Construction Industry Collective Bargaining Commission,,
Consumer Affairs Council,,
Consumer Affairs Office,Health and Human Services Department,
Consumer Product Safety Commission,Consumer Product Safety Commission,"The Consumer Product Safety Commission was established as an independent regulatory agency by the Consumer Product Safety Act (15 U.S.C. 2051 et seq.) in 1973 and reauthorized by the Consumer Product Safety Improvement Act of 2008. The Commission consists of up to five members, who are appointed by the President with the advice and consent of the Senate, for 7-year terms.
The Commission implements provisions of the Flammable Fabrics Act (15 U.S.C. 1191); Poison Prevention Packaging Act of 1970 (15 U.S.C. 1471); Federal Hazardous Substances Act (15 U.S.C. 1261); act of August 2, 1956 (15 U.S.C. 1211), prohibiting the transportation of refrigerators without door safety devices; Children's Gasoline Burn Prevention Act (15 U.S.C. 2056 note); and Virginia Graeme Baker Pool and Spa Safety Act (15 U.S.C. 8001 et seq.)."
Consumer Product Safety Commission,Consumer Product Safety Commission,"The Consumer Product Safety Commission was established as an independent regulatory agency by the Consumer Product Safety Act (15 U.S.C. 2051 et seq.) in 1973 and reauthorized by the Consumer Product Safety Improvement Act of 2008. The Commission consists of up to five members, who are appointed by the President with the advice and consent of the Senate, for 7-year terms.
The Commission implements provisions of the Flammable Fabrics Act (15 U.S.C. 1191); Poison Prevention Packaging Act of 1970 (15 U.S.C. 1471); Federal Hazardous Substances Act (15 U.S.C. 1261); act of August 2, 1956 (15 U.S.C. 1211), prohibiting the transportation of refrigerators without door safety devices; Children's Gasoline Burn Prevention Act (15 U.S.C. 2056 note); and Virginia Graeme Baker Pool and Spa Safety Act (15 U.S.C. 8001 et seq.)."
"Cooperative State Research, Education, and Extension Service",Agriculture Department,"The Cooperative State Research, Education, and Extension Service (CSREES) links the research and education resources and activities of USDA and works with academic and land-grant institutions throughout the Nation. In cooperation with its partners and customers, CSREES advances a global system of research, extension, and higher education in the food and agricultural sciences and related environmental and human sciences to benefit people, communities, and the Nation.
CSREES's programs increase and provide access to scientific knowledge; strengthen the capabilities of land-grant and other institutions in research, extension, and higher education; increase access to and use of improved communication and network systems; and promote informed decisionmaking by producers, consumers, families, and community leaders to improve social conditions in the United States and around the world. These conditions include improved agricultural and other economic enterprises; safer, cleaner water, food, and air; enhanced stewardship and management of natural resources; healthier, more responsible and more productive individuals, families, and communities; and a stable, secure, diverse, and affordable national food supply.
CSREES provides research, extension, and education leadership through programs in plant and animal systems; natural resources and environment; economic and community systems; families, 4-H, and nutrition; competitive research and integrated research, education, and extension programs and awards management; science and education resources development; and information systems and technology management."
Coordinating Council on Juvenile Justice and Delinquency Prevention,,
Copyright Office,Library of Congress,"The United States Copyright Office, a part of the Library of Congress. It is the official U.S. government body that maintains records of copyright registration in the United States. It is used by copyright title searchers who are attempting to clear a chain of title for copyrighted works."
Copyright Royalty Board,Library of Congress,
"Copyright Royalty Judges, Library of Congress",,
Copyright Royalty Tribunal,,"The Copyright Royalty Tribunal was established by act of October 19, 1976 (17 U.S.C. 801). The Tribunal was composed of five Commissioners appointed by the President. 
Among its responsibilities, the Tribunal adjusted copyright royalty rates for cable retransmission of broadcast signals in recording new versions of previously recorded songs and for noncommercial educational stations that broadcast musical, pictorial, graphic, and sculptural works. The Tribunal also had stand-by authority to adjust the rates for jukeboxes and satellite retransmission of broadcast signals to satellite homedish owners if the parties were unable to reach voluntary agreements among themselves.
The Tribunal was abolished act of Dec. 17, 1993 (107 Stat. 2304) and functions transferred to copyright arbitration royalty panels."
Corporation for National and Community Service,Corporation for National and Community Service,"The Corporation for National and Community Service engages Americans of all ages and backgrounds in community-based service that addresses the Nation's educational, public safety, environmental, and other human needs to achieve direct and demonstrable results. In so doing, the Corporation fosters civic responsibility, strengthens the ties that bind us together as a people, and provides educational opportunity for those who make a substantial commitment to service.
The Corporation was established on October 1, 1993, by the National and Community Service Trust Act of 1993 (42 U.S.C. 12651 et seq.). In addition to creating several new service programs, the Act consolidated the functions and activities of the former Commission on National and Community Service and the Federal agency ACTION."
Corporation for National and Community Service,Corporation for National and Community Service,"The Corporation for National and Community Service engages Americans of all ages and backgrounds in community-based service that addresses the Nation's educational, public safety, environmental, and other human needs to achieve direct and demonstrable results. In so doing, the Corporation fosters civic responsibility, strengthens the ties that bind us together as a people, and provides educational opportunity for those who make a substantial commitment to service.
The Corporation was established on October 1, 1993, by the National and Community Service Trust Act of 1993 (42 U.S.C. 12651 et seq.). In addition to creating several new service programs, the Act consolidated the functions and activities of the former Commission on National and Community Service and the Federal agency ACTION."
Council on Environmental Quality,,
Counsel to the President,,
Court Services and Offender Supervision Agency for the District of Columbia,,
"Crime and Security in U.S. Seaports, Interagency Commission",,
Customs Service,Treasury Department,"Until March 2003, the United States Customs Service was an agency of the U.S. Federal Government that collected import  tariffs and performed other selected border security duties.
Before it was dissolved to form part of the U.S. Department of Homeland Security as the Bureau of Customs and Border Protection and Immigration and Customs Enforcement, the United States Customs Service had three major missions: collecting tariff revenue, protecting the U.S. economy from smuggling and illegal goods, and processing people and goods at ports of entry."
Defense Audit Service,Defense Department,
Defense Base Closure and Realignment Commission,,
Defense Communications Agency (See Defense Information Systems Agency),,
Defense Criminal Investigative Service,Defense Department,
Defense Department,Defense Department,"The Department of Defense is responsible for providing the military forces needed to deter war and protect the security of our country. The major elements of these forces are the Army, Navy, Marine Corps, and Air Force, consisting of about 1.3 million men and women on active duty. They are backed, in case of emergency, by the 825,000 members of the Reserve and National Guard. In addition, there are about 600,000 civilian employees in the Defense Department. Under the President, who is also Commander in Chief, the Secretary of Defense exercises authority, direction, and control over the Department, which includes the separately organized military departments of Army, Navy, and Air Force, the Joint Chiefs of Staff providing military advice, the combatant commands, and defense agencies and field activities established for specific purposes. The National Security Act Amendments of 1949 redesignated the National Military Establishment as the Department of Defense and established it as an executive department (10 U.S.C. 111), headed by the Secretary of Defense."
Defense Department,Defense Department,"The Department of Defense is responsible for providing the military forces needed to deter war and protect the security of our country. The major elements of these forces are the Army, Navy, Marine Corps, and Air Force, consisting of about 1.3 million men and women on active duty. They are backed, in case of emergency, by the 825,000 members of the Reserve and National Guard. In addition, there are about 600,000 civilian employees in the Defense Department. Under the President, who is also Commander in Chief, the Secretary of Defense exercises authority, direction, and control over the Department, which includes the separately organized military departments of Army, Navy, and Air Force, the Joint Chiefs of Staff providing military advice, the combatant commands, and defense agencies and field activities established for specific purposes. The National Security Act Amendments of 1949 redesignated the National Military Establishment as the Department of Defense and established it as an executive department (10 U.S.C. 111), headed by the Secretary of Defense."
Defense Department,Defense Department,"The Department of Defense is responsible for providing the military forces needed to deter war and protect the security of our country. The major elements of these forces are the Army, Navy, Marine Corps, and Air Force, consisting of about 1.3 million men and women on active duty. They are backed, in case of emergency, by the 825,000 members of the Reserve and National Guard. In addition, there are about 600,000 civilian employees in the Defense Department. Under the President, who is also Commander in Chief, the Secretary of Defense exercises authority, direction, and control over the Department, which includes the separately organized military departments of Army, Navy, and Air Force, the Joint Chiefs of Staff providing military advice, the combatant commands, and defense agencies and field activities established for specific purposes. The National Security Act Amendments of 1949 redesignated the National Military Establishment as the Department of Defense and established it as an executive department (10 U.S.C. 111), headed by the Secretary of Defense."
Defense Department,Defense Department,"The Department of Defense is responsible for providing the military forces needed to deter war and protect the security of our country. The major elements of these forces are the Army, Navy, Marine Corps, and Air Force, consisting of about 1.3 million men and women on active duty. They are backed, in case of emergency, by the 825,000 members of the Reserve and National Guard. In addition, there are about 600,000 civilian employees in the Defense Department. Under the President, who is also Commander in Chief, the Secretary of Defense exercises authority, direction, and control over the Department, which includes the separately organized military departments of Army, Navy, and Air Force, the Joint Chiefs of Staff providing military advice, the combatant commands, and defense agencies and field activities established for specific purposes. The National Security Act Amendments of 1949 redesignated the National Military Establishment as the Department of Defense and established it as an executive department (10 U.S.C. 111), headed by the Secretary of Defense."
Defense Department,Defense Department,"The Department of Defense is responsible for providing the military forces needed to deter war and protect the security of our country. The major elements of these forces are the Army, Navy, Marine Corps, and Air Force, consisting of about 1.3 million men and women on active duty. They are backed, in case of emergency, by the 825,000 members of the Reserve and National Guard. In addition, there are about 600,000 civilian employees in the Defense Department. Under the President, who is also Commander in Chief, the Secretary of Defense exercises authority, direction, and control over the Department, which includes the separately organized military departments of Army, Navy, and Air Force, the Joint Chiefs of Staff providing military advice, the combatant commands, and defense agencies and field activities established for specific purposes. The National Security Act Amendments of 1949 redesignated the National Military Establishment as the Department of Defense and established it as an executive department (10 U.S.C. 111), headed by the Secretary of Defense."
Defense Investigative Service,Defense Department,See Defense Security Service
Defense Logistics Agency,Defense Department,"The Defense Logistics Agency (DLA) is under the authority, direction, and control of the Under Secretary of Defense for Acquisition, Technology, and Logistics. It supports both the logistics requirements of the military services and their acquisition of weapons and other materiel. The Agency provides logistics support and technical services to all branches of the military and to a number of Federal agencies. Agency supply centers consolidate the requirements of the military services and procure the supplies in sufficient quantities to meet their projected needs. The Agency manages supplies in eight commodity areas: fuel, food, clothing, construction material, electronic supplies, general supplies, industrial supplies, and medical supplies."
Defense Logistics Agency,Defense Department,"The Defense Logistics Agency (DLA) is under the authority, direction, and control of the Under Secretary of Defense for Acquisition, Technology, and Logistics. It supports both the logistics requirements of the military services and their acquisition of weapons and other materiel. The Agency provides logistics support and technical services to all branches of the military and to a number of Federal agencies. Agency supply centers consolidate the requirements of the military services and procure the supplies in sufficient quantities to meet their projected needs. The Agency manages supplies in eight commodity areas: fuel, food, clothing, construction material, electronic supplies, general supplies, industrial supplies, and medical supplies."
Defense Nuclear Facilities Safety Board,,
Defense Special Weapons Agency,Defense Department,See Threat Reduction Agency
Defense Supply Agency,Defense Department,See Defense Logistics Agency
Delaware River Basin Commission,,
Denali Commission,,
Depository Institutions Deregulation Committee,,
Disability Employment Policy Office,Labor Department,
Drug Enforcement Administration,Justice Department,"The Drug Enforcement Administration (DEA) is the lead Federal agency in enforcing narcotics and controlled substances laws and regulations. DEA also enforces the Federal money laundering and bulk currency smuggling statutes when the funds involved in the transactions or smuggling are derived from the sale of narcotics. It was created in July 1973 by Reorganization Plan No. 2 of 1973 (5 U.S.C. app.).
DEA enforces the provisions of the controlled substances and chemical diversion and trafficking laws and regulations of the United States, and operates on a worldwide basis. It presents cases to the criminal and civil justice systems of the United States--or any other competent jurisdiction--on those significant organizations and their members involved in cultivation, production, smuggling, distribution, laundering of proceeds, or diversion of controlled substances appearing in or destined for illegal traffic in the United States. DEA disrupts and dismantles these organizations by arresting their members, confiscating their drugs, and seizing their assets; and creates, manages, and supports enforcement-related programs--domestically and internationally--aimed at reducing the availability of and demand for illicit controlled substances."
East-West Foreign Trade Board,,
Economic Analysis Bureau,Commerce Department,"The Bureau of Economic Analysis (BEA) promotes a better understanding of the U.S. economy by providing the most timely, relevant, and accurate economic accounts data in an objective and cost-effective manner. BEA's economic statistics are closely watched and provide a comprehensive picture of the U.S. economy. BEA prepares national, regional, industry, and international accounts that present essential information on such issues in the world economy.
BEA's national economic statistics provide a comprehensive look at U.S. production, consumption, investment, exports and imports, and income and saving. The international transactionsaccounts provide information on trade in goods and services (including the balance of payments and trade), investment income, and government and private finances. In addition, the accounts measure the value of U.S. international assets and liabilities and direct investment by multinational companies.
The regional accounts provide data on total and per capita personal income by region, State, metropolitan area, and county, and on gross State product. The industry economic account provides a detailed view of the interrelationships between U.S. producers and users and the contribution to production across industries."
Economic Development Administration,Commerce Department,"The Economic Development Administration (EDA) was created in 1965 under the Public Works and Economic Development Act (42 U.S.C. 3121) as part of an effort to target Federal resources to economically distressed areas and to help develop local economies in the United States. It was mandated to assist rural and urban communities that were outside the mainstream economy and that lagged in economic development, industrial growth, and personal income.
EDA provides grants to States, regions, and communities across the Nation to help create wealth and minimize poverty by promoting a favorable business environment to attract private capital investment and higher skill, higher wage jobs through capacity building, planning, infrastructure, research grants, and strategic initiatives. Through its grant program, EDA utilizes public sector resources to create an environment where the private sector risks capital and job opportunities are created."
"Economic Opportunity, National Advisory Council",,
Economic Regulatory Administration,Energy Department,
Economic Research Service,Agriculture Department,"The mission of the Economic Research Service (ERS) is to inform and enhance public and private decisionmaking on economic and policy issues related to agriculture, food, the environment, and rural development.   
Activities to support this mission and the following goals involve research and development of economic and statistical indicators on a broad range of topics including, but not limited to, global agricultural market conditions, trade restrictions, agribusiness concentration, farm and retail food prices, foodborne illnesses, food labeling, nutrition, food assistance programs, worker safety, agrichemical usage, livestock waste management, conservation, sustainability, genetic diversity, technology transfer, rural infrastructure, and rural employment. Research results and economic indicators on such important agricultural, food, natural resource, and rural issues are fully disseminated to 
public and private decisionmakers through published and electronic reports and articles; special staff analyses, briefings, presentations, and papers; databases; and individual contacts. Through such activities, ERS provides public and private decisionmakers with economic and related social science information and analysis in support of the department's goals of enhancing economic opportunities for agricultural producers; 
supporting economic opportunities and quality of life in rural America; enhancing the protection and safety of U.S. agriculture and food; improving U.S. nutrition and health; and enhancing the natural resource base and environment. More information on ERS's program is contained on the ERS Web site (www.ers.usda.gov)."
Economics and Statistics Administration,Commerce Department,"The Economics and Statistics Administration (ESA) provides broad and targeted economic data, analyses, and forecasts for use by Government agencies, businesses, and others, as well as develops domestic and international economic policy. The Under Secretary is the chief economic adviser to the Secretary and provides leadership and executive management of the Bureau of the Census and the Bureau of Economic Analysis.
ESA provides key business, economic, and international trade information products that American business and the public can use to make informed decisions through STAT.USA."
Education Department,Education Department,"The Department of Education was created by the Department of Education Organization Act (20 U.S.C. 3411) and is administered under the supervision and direction of the Secretary of Education.
The Department of Education establishes policy for, administers, and coordinates most Federal assistance to education. Its mission is to ensure equal access to education and to promote educational excellence throughout the Nation."
Education Department,Education Department,"The Department of Education was created by the Department of Education Organization Act (20 U.S.C. 3411) and is administered under the supervision and direction of the Secretary of Education.
The Department of Education establishes policy for, administers, and coordinates most Federal assistance to education. Its mission is to ensure equal access to education and to promote educational excellence throughout the Nation."
Education Department,Education Department,"The Department of Education was created by the Department of Education Organization Act (20 U.S.C. 3411) and is administered under the supervision and direction of the Secretary of Education.
The Department of Education establishes policy for, administers, and coordinates most Federal assistance to education. Its mission is to ensure equal access to education and to promote educational excellence throughout the Nation."
Election Assistance Commission,,"The U.S. Election Assistance Commission (EAC) was established by the Help America Vote Act of 2002 (HAVA). EAC is an independent, bipartisan commission charged with developing guidance to meet HAVA requirements, adopting voluntary voting system guidelines, and serving as a national clearinghouse of information about election administration. EAC also accredits testing laboratories and certifies voting systems, as well as audits the use of HAVA funds.
Other responsibilities include maintaining the national mail voter registration form developed in accordance with the National Voter Registration Act of 1993."
Electronic Commerce Advisory Commission,,
Emergency Oil and Gas Guaranteed Loan Board,,
Emergency Steel Guarantee Loan Board,,
Employee Benefits Security Administration,Labor Department,"The Employee Benefits Security Administration (EBSA) promotes and protects the pension, health, and other benefits of the over 150 million participants and beneficiaries in over 6 million private sector employee benefit plans. In administering its responsibilities, EBSA assists workers in understanding their rights and protecting their benefits; facilitates compliance by plan sponsors, plan officials, service providers, and other members of the regulated community; encourages the growth of employment-based benefits; and deters and corrects violations of the relevant statutes. The Employee Retirement Income Security Act (ERISA) is enforced through 15 EBSA field offices nationwide and the national office in Washington, DC."
Employees Compensation Appeals Board,Labor Department,"Employees' Compensation Appeals Board  The Board is a three-member quasi-judicial body appointed by the Secretary which has been delegated exclusive jurisdiction by Congress to hear and make final decisions on workers' compensation appeals of Federal employees from determinations of the Office of Workers' Compensation Programs (Office) arising under the Federal Employees' Compensation Act. The Employees' Compensation Appeals Board (Board) was created by Reorganization Plan No. 2 of 1946 (60 Stat. 1095). The Board is independent of the Office, and its jurisdiction is strictly appellate and extends to questions of fact and law. The Board's decisions are not reviewable and are binding upon the Office."
Employment and Training Administration,Labor Department,"The Employment and Training Administration (ETA) provides quality job training, employment, labor market information, and income maintenance services primarily through State and local workforce development systems. ETA also administers programs to enhance employment opportunities and business prosperity."
Employment Standards Administration,Labor Department,"The Employment Standards Administration (ESA) manages and directs employment standards programs. It handles minimum wage and overtime standards; registration of farm labor contractors; determining prevailing wage rates to be paid on Government contracts and subcontracts; nondiscrimination and affirmative action for minorities, women, veterans, and handicapped Government contract and subcontract workers; and workers' compensation programs for Federal and certain private employers and employees. ESA also safeguards the financial integrity and internal democracy of labor unions and administers statutory programs to certify employee protection provisions for various federally sponsored transportation programs."
Endangered Species Committee,,
Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
Energy Efficiency and Renewable Energy Office,Energy Department,
Energy Information Administration,Energy Department,
Energy Policy and New Uses Office,Agriculture Department,"The Office of Energy Policy and New Uses (OEPNU) assists the Secretary of Agriculture in developing and coordinating Departmental energy policy, programs, and strategies."
Energy Research Office,Energy Department,
Energy Technology Office,Energy Department,
Engineers Corps,Defense Department,
Engineers Corps,Defense Department,
