active,cfr_citation,parent_agency_name,agency_name,description
1,34 CFR 1-699,Education Department,Education Department,"The Department of Education was created by the Department of Education Organization Act (20 U.S.C. 3411) and is administered under the supervision and direction of the Secretary of Education.
The Department of Education establishes policy for, administers, and coordinates most Federal assistance to education. Its mission is to ensure equal access to education and to promote educational excellence throughout the Nation."
1,48 CFR 3400-3499,Education Department,Education Department,"The Department of Education was created by the Department of Education Organization Act (20 U.S.C. 3411) and is administered under the supervision and direction of the Secretary of Education.
The Department of Education establishes policy for, administers, and coordinates most Federal assistance to education. Its mission is to ensure equal access to education and to promote educational excellence throughout the Nation."
1,2 CFR 5800-5899,,Election Assistance Commission,"The U.S. Election Assistance Commission (EAC) was established by the Help America Vote Act of 2002 (HAVA). EAC is an independent, bipartisan commission charged with developing guidance to meet HAVA requirements, adopting voluntary voting system guidelines, and serving as a national clearinghouse of information about election administration. EAC also accredits testing laboratories and certifies voting systems, as well as audits the use of HAVA funds.
Other responsibilities include maintaining the national mail voter registration form developed in accordance with the National Voter Registration Act of 1993."
1,11 CFR 9400-9499,,Election Assistance Commission,"The U.S. Election Assistance Commission (EAC) was established by the Help America Vote Act of 2002 (HAVA). EAC is an independent, bipartisan commission charged with developing guidance to meet HAVA requirements, adopting voluntary voting system guidelines, and serving as a national clearinghouse of information about election administration. EAC also accredits testing laboratories and certifies voting systems, as well as audits the use of HAVA funds.
Other responsibilities include maintaining the national mail voter registration form developed in accordance with the National Voter Registration Act of 1993."
1,,,Electronic Commerce Advisory Commission,
1,13 CFR 500-599,,Emergency Oil and Gas Guaranteed Loan Board,"The Emergency Oil and Gas Guaranteed Loan Board was established under Chapter II of the Emergency Steel Loan Guarantee and Emergency Oil and Gas Guaranteed Loan Act of 1999 (Aug. 17, 1999, 113 Stat. 252), to oversee the activities indicated in the Emergency Oil and Gas Guaranteed Loan Program established under the same act. The Program was created to provide loan guarantees to qualified oil and gas companies, as described in the act's provisions, by private banking and investment institutions.
The Board is composed of the Secretary of Commerce, the Chairman of the Board of Governors of the Federal Reserve System, and the Chairman of the Securities and Exchange Commission."
1,13 CFR 400-499,,Emergency Steel Guarantee Loan Board,"The Emergency Steel Loan Guarantee Board was established under Chapter I of the Emergency Steel Loan Guarantee and Emergency Oil and Gas Guaranteed Loan Act of 1999 (Aug. 17, 1999, 113 Stat. 252), to oversee the activities indicated in the Emergency Steel Loan Guarantee Program established under the same act. The Program is designated to provide guaranteed loans to qualified steel and iron ore companies by private banking and investment institutions. The Board is composed of the Chairman of the Federal Reserve Board, the Chairman on the Securities and Exchange Commission, and the Secretary of the Commerce Department."
1,29 CFR 2500-2599,Labor Department,Employee Benefits Security Administration,"The Employee Benefits Security Administration (EBSA) promotes and protects the pension, health, and other benefits of the over 150 million participants and beneficiaries in over 6 million private sector employee benefit plans. In administering its responsibilities, EBSA assists workers in understanding their rights and protecting their benefits; facilitates compliance by plan sponsors, plan officials, service providers, and other members of the regulated community; encourages the growth of employment-based benefits; and deters and corrects violations of the relevant statutes. The Employee Retirement Income Security Act (ERISA) is enforced through 15 EBSA field offices nationwide and the national office in Washington, DC."
1,20 CFR 500-599,Labor Department,Employees Compensation Appeals Board,"Employees' Compensation Appeals Board The Board is a three-member quasi-judicial body appointed by the Secretary which has been delegated exclusive jurisdiction by Congress to hear and make final decisions on workers' compensation appeals of Federal employees from determinations of the Office of Workers' Compensation Programs (Office) arising under the Federal Employees' Compensation Act. The Employees' Compensation Appeals Board (Board) was created by Reorganization Plan No. 2 of 1946 (60 Stat. 1095). The Board is independent of the Office, and its jurisdiction is strictly appellate and extends to questions of fact and law. The Board's decisions are not reviewable and are binding upon the Office."
1,20 CFR 600-699,Labor Department,Employment and Training Administration,"The Employment and Training Administration (ETA) provides quality job training, employment, labor market information, and income maintenance services primarily through State and local workforce development systems. ETA also administers programs to enhance employment opportunities and business prosperity."
1,20 CFR 700-799,Labor Department,Employment Standards Administration,"The Employment Standards Administration (ESA) manages and directs employment standards programs. It handles minimum wage and overtime standards; registration of farm labor contractors; determining prevailing wage rates to be paid on Government contracts and subcontracts; nondiscrimination and affirmative action for minorities, women, veterans, and handicapped Government contract and subcontract workers; and workers' compensation programs for Federal and certain private employers and employees. ESA also safeguards the financial integrity and internal democracy of labor unions and administers statutory programs to certify employee protection provisions for various federally sponsored transportation programs."
1,50 CFR 400-499,,Endangered Species Committee,
1,02 CFR 900-999,Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
1,05 CFR 3300-3399,Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
1,"10 CFR 200-999, 1000-1099",Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
1,41 CFR 109,Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
1,48 CFR 900-999,Energy Department,Energy Department,"The Department of Energy's mission is to foster a secure and reliable energy system that is environmentally and economically sustainable; to be a responsible steward of the Nation's nuclear weapons; to clean up the Department's facilities; to lead in the physical sciences and advance the biological, environmental, and computational sciences; and to provide premier scientific instruments for the Nation's research enterprise.
The Department of Energy (DOE) was established by the Department of Energy Organization Act (42 U.S.C. 7131), effective October 1, 1977, pursuant to Executive Order 12009 of September 13, 1977. The act consolidated the major Federal energy functions into one Cabinet-level Department."
1,,Energy Department,Energy Efficiency and Renewable Energy Office,
1,,Energy Department,Energy Information Administration,
1,07 CFR 2900-2999,Agriculture Department,Energy Policy and New Uses Office,"The Office of Energy Policy and New Uses (OEPNU) assists the Secretary of Agriculture in developing and coordinating Departmental energy policy, programs, and strategies."
1,,Energy Department,Energy Research Office,
1,,Energy Department,Energy Technology Office,
1,33 CFR 200-399,Defense Department,Engineers Corps,"The Corps story began more than 200 years ago when Congress established the Continental Army with a provision for a chief engineer on June 16, 1775. The Army established the Corps of Engineers as a separate, permanent branch on March 16, 1802, and gave the engineers responsibility for founding and operating the U.S. Military Academy at West Point. 
Since then, the U.S. Army Corps of Engineers has responded to changing defense requirements and played an integral part in the development of the country. Throughout the 19th century, the Corps built coastal fortifications, surveyed roads and canals, eliminated navigational hazards, explored and mapped the Western frontier, and constructed buildings and monuments in the Nation's capital. While the mission and tasks have evolved with the needs and priorities of the Nation, the dedication and commitment of the workforce has remained constant.
Today, the U.S. Army Corps of Engineers has approximately 34,000 dedicated Civilians and Soldiers delivering engineering services to customers in more than 90 countries worldwide. With environmental sustainability as a guiding principle, our disciplined Corps team is working diligently to strengthen our Nation's security by building and maintaining America's infrastructure and providing military facilities where our servicemembers train, work and live. We are also researching and developing technology for our war fighters while protecting America's interests abroad by using our engineering expertise to promote stability and improve quality of life. We are energizing the economy by dredging America's waterways to support the movement of critical commodities and providing recreation opportunities at our campgrounds, lakes and marinas. And by devising hurricane and storm damage reduction infrastructure, we are reducing risks from disasters. [http://www.usace.army.mil/]"
1,36 CFR 300-399,Defense Department,Engineers Corps,"The Corps story began more than 200 years ago when Congress established the Continental Army with a provision for a chief engineer on June 16, 1775. The Army established the Corps of Engineers as a separate, permanent branch on March 16, 1802, and gave the engineers responsibility for founding and operating the U.S. Military Academy at West Point. 
Since then, the U.S. Army Corps of Engineers has responded to changing defense requirements and played an integral part in the development of the country. Throughout the 19th century, the Corps built coastal fortifications, surveyed roads and canals, eliminated navigational hazards, explored and mapped the Western frontier, and constructed buildings and monuments in the Nation's capital. While the mission and tasks have evolved with the needs and priorities of the Nation, the dedication and commitment of the workforce has remained constant.
Today, the U.S. Army Corps of Engineers has approximately 34,000 dedicated Civilians and Soldiers delivering engineering services to customers in more than 90 countries worldwide. With environmental sustainability as a guiding principle, our disciplined Corps team is working diligently to strengthen our Nation's security by building and maintaining America's infrastructure and providing military facilities where our servicemembers train, work and live. We are also researching and developing technology for our war fighters while protecting America's interests abroad by using our engineering expertise to promote stability and improve quality of life. We are energizing the economy by dredging America's waterways to support the movement of critical commodities and providing recreation opportunities at our campgrounds, lakes and marinas. And by devising hurricane and storm damage reduction infrastructure, we are reducing risks from disasters. [http://www.usace.army.mil/]"
1,31 CFR 600-699,Treasury Department,Engraving and Printing Bureau,"The Bureau of Engraving and Printing operates on basic authorities conferred by act of July 11, 1862 (31 U.S.C. 303), and additional authorities contained in past appropriations made to the Bureau that are still in force. Operations are financed by a revolving fund established in 1950 in accordance with Public Law 81-656. The Bureau is headed by a Director who is selected by the Secretary of the Treasury.
The Bureau designs, prints, and finishes all of the Nation's paper currency and many other security documents, including White House invitations and military identification cards. It also is responsible for advising and assisting Federal agencies in the design and production of other Government documents that, because of their innate value or for other reasons, require security or counterfeit-deterrence characteristics."
1,,Energy Department,"Environment Office, Energy Department",
1,02 CFR 1500-1599,Environmental Protection Agency,Environmental Protection Agency,"The Environmental Protection Agency protects human health and safeguards the natural environment.
The Environmental Protection Agency was established in the executive branch as an independent agency pursuant to Reorganization Plan No. 3 of 1970 (5 U.S.C. app.), effective December 2, 1970. It was created to permit coordinated and effective governmental action on behalf of the environment. The Agency is designed to serve as the public's advocate for a livable environment."
1,05 CFR 6400-6499,Environmental Protection Agency,Environmental Protection Agency,"The Environmental Protection Agency protects human health and safeguards the natural environment.
The Environmental Protection Agency was established in the executive branch as an independent agency pursuant to Reorganization Plan No. 3 of 1970 (5 U.S.C. app.), effective December 2, 1970. It was created to permit coordinated and effective governmental action on behalf of the environment. The Agency is designed to serve as the public's advocate for a livable environment."
1,"40 CFR 1-1499, 1700-1799",Environmental Protection Agency,Environmental Protection Agency,"The Environmental Protection Agency protects human health and safeguards the natural environment.
The Environmental Protection Agency was established in the executive branch as an independent agency pursuant to Reorganization Plan No. 3 of 1970 (5 U.S.C. app.), effective December 2, 1970. It was created to permit coordinated and effective governmental action on behalf of the environment. The Agency is designed to serve as the public's advocate for a livable environment."
1,41 CFR 115,Environmental Protection Agency,Environmental Protection Agency,"The Environmental Protection Agency protects human health and safeguards the natural environment.
The Environmental Protection Agency was established in the executive branch as an independent agency pursuant to Reorganization Plan No. 3 of 1970 (5 U.S.C. app.), effective December 2, 1970. It was created to permit coordinated and effective governmental action on behalf of the environment. The Agency is designed to serve as the public's advocate for a livable environment."
1,48 CFR 1500-1599,Environmental Protection Agency,Environmental Protection Agency,"The Environmental Protection Agency protects human health and safeguards the natural environment.
The Environmental Protection Agency was established in the executive branch as an independent agency pursuant to Reorganization Plan No. 3 of 1970 (5 U.S.C. app.), effective December 2, 1970. It was created to permit coordinated and effective governmental action on behalf of the environment. The Agency is designed to serve as the public's advocate for a livable environment."
1,07 CFR 3100-3199,Agriculture Department,Environmental Quality Office,
1,05 CFR 7200-7299,Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,"The Equal Employment Opportunity Commission enforces laws prohibiting employment discrimination based on race, color, gender, religion, national origin, age, and disability in the Federal and private sectors.
The Equal Employment Opportunity Commission (EEOC) was created by title VII of the Civil Rights Act of 1964 (42 U.S.C. 2000e-4), and became operational July 2, 1965. Laws under the EEOC's enforcement mission include title VII of the Civil Rights Act of 1964 (42 U.S.C. 2000e et 
seq.), the Age Discrimination in Employment Act of 1967 (29 U.S.C. 621 et seq.), sections of the Rehabilitation Act of 1973 (29 U.S.C. 791 et seq.), the Equal Pay Act of 1963 (29 U.S.C. 206), title I of the Americans with Disabilities Act of 1990 (42 U.S.C. 12101 et seq.), and sections of the Civil Rights Act of 1991 (105 Stat. 1071).
The EEOC is a bipartisan commission composed of five members appointed by the President, with the advice and consent of the Senate, for staggered 5-year terms. The President designates a Chairman and Vice Chairman. In addition to the members of the Commission, the President appoints a General Counsel, with the advice and consent of the Senate, to support the Commission and provide direction, coordination, and supervision of the EEOC's litigation program. The General Counsel serves for a term of 4 years."
1,29 CFR 1600-1699,Equal Employment Opportunity Commission,Equal Employment Opportunity Commission,"The Equal Employment Opportunity Commission enforces laws prohibiting employment discrimination based on race, color, gender, religion, national origin, age, and disability in the Federal and private sectors.
The Equal Employment Opportunity Commission (EEOC) was created by title VII of the Civil Rights Act of 1964 (42 U.S.C. 2000e-4), and became operational July 2, 1965. Laws under the EEOC's enforcement mission include title VII of the Civil Rights Act of 1964 (42 U.S.C. 2000e et 
seq.), the Age Discrimination in Employment Act of 1967 (29 U.S.C. 621 et seq.), sections of the Rehabilitation Act of 1973 (29 U.S.C. 791 et seq.), the Equal Pay Act of 1963 (29 U.S.C. 206), title I of the Americans with Disabilities Act of 1990 (42 U.S.C. 12101 et seq.), and sections of the Civil Rights Act of 1991 (105 Stat. 1071).
The EEOC is a bipartisan commission composed of five members appointed by the President, with the advice and consent of the Senate, for staggered 5-year terms. The President designates a Chairman and Vice Chairman. In addition to the members of the Commission, the President appoints a General Counsel, with the advice and consent of the Senate, to support the Commission and provide direction, coordination, and supervision of the EEOC's litigation program. The General Counsel serves for a term of 4 years."
1,,,Executive Council on Integrity and Efficiency,
1,08 CFR 1001-1399,Justice Department,Executive Office for Immigration Review,"The Executive Office for Immigration Review, under a delegation of authority from the Attorney General, is charged with adjudicating matters brought under various immigration statutes to its three administrative tribunals: the Board of Immigration Appeals, the Office of the Chief Immigration Judge, and the Office of the Chief Administrative Hearing Officer."
1,03 CFR 100-199,,Executive Office of the President,"Under authority of the Reorganization Act of 1939 (5 U.S.C. 133-133r, 133t note), various agencies were transferred to the Executive Office of the President by the President's Reorganization Plans I and II of 1939 (5 U.S.C. app.), effective July 1, 1939. Executive Order 8248 of September 8, 1939, established the divisions of the Executive Office and defined their functions. Subsequently, Presidents have used Executive orders, reorganization plans, and legislative initiatives to reorganize the Executive Office to make its composition compatible with the goals of their administrations."
0,,Commerce Department,Export Administration Bureau,"The Bureau of Export Administration was established as a separate agency
within the Department of Commerce on Oct. 1, 1987 (50 USC app. 2401 et
seq.). Renamed Bureau of Industry and Security by Department of Commerce
internal organization order of Apr. 18, 2002 (67 FR 20630)."
1,02 CFR 3500-3599,Export-Import Bank,Export-Import Bank,"The Export-Import Bank of the United States helps the private sector to create and maintain U.S. jobs by financing exports of the Nation's goods and services. To accomplish this mission, the Bank offers a variety of loan, guarantee, and insurance programs to support transactions that would not be awarded to U.S. companies without the Bank's assistance.
The Export-Import Bank of the United States (Ex-Im Bank), established in 1934, operates as an independent agency of the U.S. Government under the authority of the Export-Import Bank Act of 1945, as amended (12 U.S.C. 635 et seq.). Its Board of Directors consists of a President and Chairman, a First Vice President and Vice Chair, and three other Directors, all are appointed by the President with the advice and consent of the Senate.
Ex-Im Bank's mission is to help American exporters meet government-supported financing competition from other countries, so that U.S. exports can compete for overseas business on the basis of price, performance, and service, and in doing so help create and sustain U.S. jobs. The Bank also fills gaps in the availability of commercial financing for creditworthy export transactions.
Ex-Im Bank is required to find a reasonable assurance of repayment for each transaction it supports. Its legislation requires it to meet the financing terms of competitor export credit agencies, but not to compete with commercial lenders. Legislation restricts the Bank's operation in some countries and its support for military goods and services."
1,05 CFR 6200-6299,Export-Import Bank,Export-Import Bank,"The Export-Import Bank of the United States helps the private sector to create and maintain U.S. jobs by financing exports of the Nation's goods and services. To accomplish this mission, the Bank offers a variety of loan, guarantee, and insurance programs to support transactions that would not be awarded to U.S. companies without the Bank's assistance.
The Export-Import Bank of the United States (Ex-Im Bank), established in 1934, operates as an independent agency of the U.S. Government under the authority of the Export-Import Bank Act of 1945, as amended (12 U.S.C. 635 et seq.). Its Board of Directors consists of a President and Chairman, a First Vice President and Vice Chair, and three other Directors, all are appointed by the President with the advice and consent of the Senate.
Ex-Im Bank's mission is to help American exporters meet government-supported financing competition from other countries, so that U.S. exports can compete for overseas business on the basis of price, performance, and service, and in doing so help create and sustain U.S. jobs. The Bank also fills gaps in the availability of commercial financing for creditworthy export transactions.
Ex-Im Bank is required to find a reasonable assurance of repayment for each transaction it supports. Its legislation requires it to meet the financing terms of competitor export credit agencies, but not to compete with commercial lenders. Legislation restricts the Bank's operation in some countries and its support for military goods and services."
1,12 CFR 400-499,Export-Import Bank,Export-Import Bank,"The Export-Import Bank of the United States helps the private sector to create and maintain U.S. jobs by financing exports of the Nation's goods and services. To accomplish this mission, the Bank offers a variety of loan, guarantee, and insurance programs to support transactions that would not be awarded to U.S. companies without the Bank's assistance.
The Export-Import Bank of the United States (Ex-Im Bank), established in 1934, operates as an independent agency of the U.S. Government under the authority of the Export-Import Bank Act of 1945, as amended (12 U.S.C. 635 et seq.). Its Board of Directors consists of a President and Chairman, a First Vice President and Vice Chair, and three other Directors, all are appointed by the President with the advice and consent of the Senate.
Ex-Im Bank's mission is to help American exporters meet government-supported financing competition from other countries, so that U.S. exports can compete for overseas business on the basis of price, performance, and service, and in doing so help create and sustain U.S. jobs. The Bank also fills gaps in the availability of commercial financing for creditworthy export transactions.
Ex-Im Bank is required to find a reasonable assurance of repayment for each transaction it supports. Its legislation requires it to meet the financing terms of competitor export credit agencies, but not to compete with commercial lenders. Legislation restricts the Bank's operation in some countries and its support for military goods and services.
"
1,,Faith-based Neighborhood Partnerships Office,Faith-based Neighborhood Partnerships Office,
1,45 CFR 200-299,Health and Human Services Department,Family Assistance Office,"The Office of Family Assistance administers the Temporary Assistance for Needy Families (TANF) and Child Care and Development Fund (CCDF) programs. The TANF Bureau provides assistance and work opportunities to needy families by granting States, Territories and Tribes the federal funds and wide flexibility to develop and implement their own welfare programs. The Child Care Bureau (CCB) provides funds to States, Territories and Tribes to support low-income working families' access to affordable, quality early care and afterschool programs. In February 2006, former President George W. Bush signed the Deficit Reduction Act of 2005, which reauthorized the TANF program. The DRA reauthorization also included $150 million for discretionary grants to support programs designed to help couples form and sustain healthy marriages. Up to $50 million of this amount may be used for programs designed to encourage responsible fatherhood. [http://www.acf.hhs.gov/programs/ofa/about.html#mission]"
1,05 CFR 4100-4199,Farm Credit Administration,Farm Credit Administration,"The Farm Credit Administration (FCA) was established as an independent financial regulatory agency in the executive branch of the Federal Government by Executive Order 6084 on March 27, 1933.
 
The Farm Credit Administration is responsible for ensuring the safe and sound operation of the banks, associations, affiliated service organizations, and other entities that collectively comprise what is known as the Farm Credit System, and for protecting the interests of the public and those who borrow from Farm Credit institutions or invest in Farm Credit securities.
 
FCA carries out its responsibilities by conducting examinations of the various Farm Credit lending institutions, which are Farm Credit Banks, the Agricultural Credit Bank, Agricultural Credit Associations, and Federal Land Credit Associations. "
1,12 CFR 600-699,Farm Credit Administration,Farm Credit Administration,"The Farm Credit Administration is responsible for ensuring the safe and sound operation of the banks, associations, affiliated service organizations, and other entities that collectively comprise what is known as the Farm Credit System, and for protecting the interests of the public and those who borrow from Farm Credit institutions or invest in Farm Credit securities.
 
The Farm Credit Administration (FCA) was established as an independent financial regulatory agency in the executive branch of the Federal Government by Executive Order 6084 on March 27, 1933. FCA carries out its responsibilities by conducting examinations of the various Farm Credit lending institutions, which are Farm Credit Banks, the Agricultural Credit Bank, Agricultural Credit Associations, and Federal Land Credit Associations. 
FCA also examines the service organizations owned by the Farm Credit lending institutions, as well as the National Cooperative Bank."
1,,,Farm Credit System Assistance Board,"The Farm Credit System Assistance Board was a temporary board created by the Agricultural Credit Act of 1987 (P.L. 100-233, Title II) and responsible for approving Farm Credit System lender requests for federal financial assistance. Members of the Board consisted of the Secretary of Agriculture, Secretary of Treasury (or their appointees), and an agricultural producer with financial experience. [http://en.wikipedia.org/wiki/Farm_Credit_System_Assistance_Board]"
1,05 CFR 4000-4099,,Farm Credit System Insurance Corporation,"The Farm Credit System Insurance Corporation was established by the Agricultural Credit Act of 1987 as an independent U.S. Government controlled corporation. The Corporation's primary purpose is to ensure the timely payment of principal and interest on insured notes, bonds, and other obligations issued on behalf of Farm Credit System banks. [http://www.fcsic.gov/index.html]"
1,12 CFR 1400-1499,Farm Credit System Insurance Corporation,Farm Credit System Insurance Corporation,"The Farm Credit System Insurance Corporation was established by the Agricultural Credit Act of 1987 as an independent U.S. Government controlled corporation. The Corporation's primary purpose is to ensure the timely payment of principal and interest on insured notes, bonds, and other obligations issued on behalf of Farm Credit System banks. [http://www.fcsic.gov/index.html]"
1,07 CFR 700-799,Agriculture Department,Farm Service Agency,"The Farm Service Agency (FSA) administers farm commodity, disaster, and conservation programs for farmers and ranchers, and makes and guarantees farm emergency, ownership, and operating loans through a network of State and county offices.
"
1,,,Federal Accounting Standards Advisory Board,"The Federal Accounting Standards Advisory Board was created in October 1990 as a federal advisory committee charged with the purpose of developing accounting standards and principles for the United States Government.
 The mission of the FASAB is to promulgate Federal accounting standards after considering the financial and budgetary information needs of citizens, congressional oversight groups, executive agencies, and the needs of other users of federal financial information. Accounting and financial reporting standards are essential for public accountability and for an efficient and effective functioning of our democratic system of government. Thus, Federal accounting standards and financial reporting play a major role in fulfilling the government's duty to be publicly accountable and can be used to assess (1) the government's accountability and its efficiency and effectiveness, and (2) the economic, political, and social consequences of the allocation and various uses of Federal resources. 
[http://www.fasab.gov/pdffiles/fasab_facts_2009.pdf]"
1,48 CFR 1-99,,Federal Acquisition Regulation System,"The Federal Acquisition Regulations System is established for the codification and publication of uniform policies and procedures for acquisition by all executive agencies. The Federal Acquisition Regulations System consists of the Federal Acquisition Regulation (FAR), which is the primary document, and agency acquisition regulations that implement or supplement the FAR. 
The vision for the Federal Acquisition System is to deliver on a timely basis the best value product or service to the customer, while maintaining the public's trust and fulfilling public policy objectives. "
1,"14 CFR 1-199, 400-1199",Transportation Department,Federal Aviation Administration,"The Federal Aviation Administration (FAA), formerly the Federal Aviation Agency, was established by the Federal Aviation Act of 1958 (72 Stat. 731). The agency became a component of the Department of Transportation in 1967 pursuant to the Department of Transportation Act (49 U.S.C. 
106). The mission of the FAA is to regulate civil aviation and U.S. commercial space transportation, maintain and operate air traffic control and navigation systems for both civil and military aircrafts, and develop and administer programs relating to aviation safety and the National Airspace System."
1,,Justice Department,Federal Bureau of Investigation,"The Federal Bureau of Investigation (FBI) is the principal investigative arm of the United States Department of Justice. It is primarily charged with gathering and reporting facts, locating witnesses, and compiling evidence in cases involving Federal jurisdiction. It also provides law enforcement leadership and assistance to State and international law enforcement agencies.
The Federal Bureau of Investigation was established in 1908 by the Attorney General, who directed that Department of Justice investigations be handled by its own staff. The Bureau is charged with investigating all violations of Federal law except those that have been assigned by legislative enactment or otherwise to another Federal agency. Its jurisdiction includes a wide range of responsibilities in the national security, criminal, and civil fields. Priority has been assigned to areas such as counterterrorism, counterintelligence, cyber-crimes, internationally and nationally organized crime/drug matters, and financial crimes.
The FBI also offers cooperative services to local, State, and international law enforcement agencies. These services include fingerprint identification, laboratory examination, police training, the Law Enforcement Online communication and information service for use by the law enforcement community, the National Crime Information Center, and the National Center for the Analysis of Violent Crime."
1,05 CFR 3900-3999,Federal Communications Commission,Federal Communications Commission,"The Federal Communications Commission regulates interstate and foreign communications by radio, television, wire, satellite, and cable. It is responsible for the orderly development and operation of broadcast services and the provision of rapid, efficient nationwide and worldwide telephone and telegraph services at reasonable rates. Its responsibilities also include the use of communications for promoting safety of life and property and for strengthening the national defense.
 
The Federal Communications Commission (FCC) was created by the Communications Act of 1934 (47 U.S.C. 151 et seq.) to regulate interstate and foreign communications by wire and radio in the public interest. The scope of FCC regulation includes radio and television broadcasting; telephone, telegraph, and cable television operation; two-way radio and radio operators; and satellite communication.
The Commission is composed of five members, who are appointed by the President with the advice and consent of the Senate. One of the members is designated by the President as Chairman."
1,47 CFR 0-199,Federal Communications Commission,Federal Communications Commission,"The Federal Communications Commission regulates interstate and foreign communications by radio, television, wire, satellite, and cable. It is responsible for the orderly development and operation of broadcast services and the provision of rapid, efficient nationwide and worldwide telephone and telegraph services at reasonable rates. Its responsibilities also include the use of communications for promoting safety of life and property and for strengthening the national defense.
 
The Federal Communications Commission (FCC) was created by the Communications Act of 1934 (47 U.S.C. 151 et seq.) to regulate interstate and foreign communications by wire and radio in the public interest. The scope of FCC regulation includes radio and television broadcasting; telephone, telegraph, and cable television operation; two-way radio and radio operators; and satellite communication.
The Commission is composed of five members, who are appointed by the President with the advice and consent of the Senate. One of the members is designated by the President as Chairman."
1,41 CFR 60,Labor Department,Federal Contract Compliance Programs Office,"The Office of Federal Contract Compliance Programs (OFCCP) administers and enforces three equal opportunity mandates: Executive Order 11246, as amended; section 503 of the Rehabilitation Act of 1973, as amended; and the Vietnam Era Veterans' Readjustment Assistance Act of 1974, as amended, 38 U.S.C. 4212. These mandates prohibit Federal contractors and subcontractors from discriminating on the basis of race, color, religion, sex, national origin, disability, or veteran status. They also require Federal contractors and subcontractors to take affirmative steps to ensure equal opportunity in their employment processes. OFCCP also shares responsibility with the U.S. Equal Opportunity Employment Commission in enforcing Title I of the Americans with Disabilities Act."
1,07 CFR 400-499,Agriculture Department,Federal Crop Insurance Corporation,"The Federal Crop Insurance Corporation (FCIC) promotes the economic stability of agriculture through a sound system of crop insurance and providing the means for the research and experience helpful in devising and establishing such insurance. Management is vested in a Board of Directors, subject to the general supervision of the Secretary of Agriculture.
The corporation takes actions necessary to improve the actuarial soundness of Federal multiperil crop insurance coverage, and apply the system to all insured producers in a fair and consistent manner.
"
1,05 CFR 3200-3299,Federal Deposit Insurance Corporation,Federal Deposit Insurance Corporation,"The Federal Deposit Insurance Corporation promotes and preserves public confidence in U.S. financial institutions by insuring bank and thrift deposits up to the legal limit of $100,000; by periodically examining State-chartered banks that are not members of the Federal Reserve System for safety and soundness as well as compliance with consumer protection laws; and by liquidating assets of failed institutions to reimburse the insurance funds for the cost of failures.
The Federal Deposit Insurance Corporation (FDIC) was established under the Banking Act of 1933 in response to numerous bank failures during the Great Depression. FDIC began insuring banks on January 1, 1934. As of April 1, 2006, the deposit insurance coverage on certain retirement accounts at a bank or savings institution was raised to $250,000. The basic insurance coverage for other deposit accounts remains at $100,000.
The FDIC does not operate on funds appropriated by Congress. Its income is derived from insurance premiums on deposits held by insured banks and savings associations and from interest on the required investment of the premiums in U.S. Government securities. It also has authority to borrow from the Treasury up to $30 billion for insurance purposes.
Management of the FDIC consists of a Board of Directors that includes the Chairman, Vice Chairman, and Appointive Director. The Comptroller of the Currency, whose office supervises national banks, and the Director of the Office of Thrift Supervision, which supervises federally or State-chartered savings associations, are also members of the Board. All five Board members are appointed by the President and confirmed by the Senate, with no more than three being from the same political party."
